# Start logging at 2021-01-11 21:32:40 E. South America Standard Time
[21:32:40] disconnected
[22:16:47]  iagosbroglio: kkkkkkk tem o clip
[22:16:49]  rochacoelho11: hayaBurro hayaBurro hayaBurro
[22:16:51]  bruno13valerio: unica vitoria que o so7 tem na live
[22:16:52]  jeor22: kkkkk
[22:16:52]  jaoj_: trinta são todos ou tem que pegar os 30?
[22:16:53]  iagosbroglio: kkkkkkk
[22:16:55]  vinigiovani22: trinta
[22:17:00]  kngsorzz: Já não tem como
[22:17:03]  iagosbroglio: ele bugou hard
[22:17:05]  jhonnick: 9
[22:17:10]  lucas3hunna: Acho que 30
[22:17:11]  culiojezar: qual vai ser o game hj?
[22:17:15]  masonban: 3/7
[22:17:21]  gigio_____: tava cm o OBS desligado?
[22:17:21]  dozaruu: Overzin hoje?
[22:17:24]  brunothekiller: so7, manda um beijo pro fekst, ele tá vendo sua live
[22:17:26]  iagosbroglio: https://clips.twitch.tv/FairStupidCiderRickroll
[22:17:31]  iagosbroglio: olha ai
[22:17:34]  iagosbroglio: o 30
[22:17:42]  iagosbroglio: sim
[22:17:43]  yoshimura_edu: boa noite
[22:17:46]  gabito028: o que vai ter hoje ?
[22:17:49]  masonban: Beijo pro Jhalim Rhabei
[22:17:57]  ledaoud1: salve bruninho
[22:18:05]  vindmr: LUL
[22:18:14]  robertoducca: colono tava jogando 6 da matina resident evil
[22:18:23]  iagosbroglio: kkkkkkk
[22:18:26]  fernandomallet: 9h da manha colono tava on
[22:18:50]  jhonnick: esses velhos são doidos de dormir essas horas kkkk
[22:18:54]  bruno13valerio: vai chegar as 22:22
[22:18:56]  gabito028: qual a boa de hoje?
[22:19:02]  vindmr: Nenhuma supera o stolen falando no raip errado
[22:20:02]  lucas3hunna: Kkkkkkk
[22:20:06]  iagosbroglio: kkkkkk
[22:20:13]  jaoj_: !sozinho
[22:20:14]  ohigor_: GANHEI SOZINHOOOO
[22:20:22]  iagosbroglio: sozinho kkkkl
[22:20:26]  vinigiovani22: suhahushuahusuahshuauhs
[22:20:26]  gailahad: kkkkkkkkkkkkkkk
[22:20:27]  gigio_____: não eh atoa q foi o MVP de PW do ano
[22:20:32]  danxi_realoficial: ele precisou cortar o chat pra escutar vcs na comemoração
[22:20:36]  hannibalfront: Você ajudou ele a matar o Jeff e chama os outros de enrolados kkkkkk
[22:20:39]  lucas3hunna: Muito velho
[22:21:01]  tron_black: @BruninhoSO7 O senhor poderia tirar essas notificação vermelha tá dando toque
[22:21:12]  iagosbroglio: sim
[22:21:15]  athapl: elegância Colono
[22:21:27]  jhonnick: o pior é que não foi nem tipo, ele foi passar do lado mais acabou pisando na armadilha NÃO ele vai DIRETO nela ahushaushsushs
[22:21:36]  thbhgfddv: SO7, já jogou Occot day? tá de graca na Steam
[22:21:40]  gamalho1: ae so7, te amo
[22:21:46]  ph3lippe_: boa noite, bolinho e chat. só tem 720p60?
[22:21:47]  tron_black: Vc e mal e cruel @BruninhoSO7
[22:22:05]  gabito028: ou
[22:22:12]  gabito028: qual o game de hoje ?
[22:22:18]  jaoj_: é verdade, tá travado em 720 hj
[22:22:19]  guiimedeiiros: Iria ser a vingança do conto
[22:22:21]  iagosbroglio: twitch tá toda bugada hoje
[22:22:26]  jhonnick: @gabito028 Re5
[22:22:29]  iagosbroglio: por causa do maluco
[22:22:36]  iagosbroglio: que pegou 2 milhões
[22:22:38]  turmadamao: colono furao
[22:22:52]  quatyi: boa noite so7, vc viu que tem jogos da NBA cancelados por causa dos surtos de covid ?
[22:22:54]  gabito028: @jhonnick obrigado mano
[22:23:00]  tron_black: @IagoSbroglio Ele esqueceu algum emblema já ?
[22:23:01]  thbhgfddv: SO7, já jogou Occot day? tá de graca na Steam
[22:23:07]  hannibalfront: A qualidade de video pode nao estar a melhor, mas pelo menos a qualidade de gameplay também não é tao boa
[22:23:12]  iagosbroglio: @tron_black ainda não
[22:23:12]  ph3lippe_: @IagoSbroglio crl 2M simultâneos?
[22:23:18]  geovaneclipes: Boa noite Lenda
[22:23:20]  iagosbroglio: Tu viu a dublagem so7?
[22:23:23]  gabito028: te amo SO7
[22:23:27]  iagosbroglio: E muito ruim
[22:23:46]  gaspar_gaa: eai s07in
[22:23:49]  iagosbroglio: a dublagem é engraçado
[22:23:59]  thbhgfddv: SO7, já jogou Occot day? tá de graça na Steam
[22:25:05]  filipefbezerrabr: Colono vai joga RE 5 hj?
[22:26:34]  wendellexn: boa noite meu príncipe
[22:26:38]  iagosbroglio: vê um pouco do vod e vê a dublagem do re5 calvo
[22:26:43]  tron_black: Muita
[22:26:48]  gustavobonacin: 14hrs de live
[22:26:49]  fernandomallet: ele ficou até 9h30-10h
[22:26:52]  gigio_____: ele foi ate umas 9 hrs
[22:26:59]  danxi_realoficial: eu acordei ele ainda tava lá
[22:27:05]  filipefbezerrabr: Ele começou as 21h30 e terminou a 10h00
[22:27:07]  guiimedeiiros: Muitas, era 10 horas da manhã ele tava em live ainda
[22:27:27]  filipefbezerrabr: mais ou menos
[22:27:31]  lrenanvictorl: kkkkkk
[22:27:44]  tron_black: que coisa ruim
[22:27:52]  kamuisensei: Chris voz fininha
[22:27:54]  jaoj_: é dublagem meme
[22:27:57]  filipefbezerrabr: mas pelo menos tem dublagem kkk
[22:28:00]  bmw_barata: mt zoada a do re4 tava bem melhor
[22:28:01]  jaoj_: feita por fã
[22:28:02]  danxi_realoficial: eh a prova que loud pagou pela sucinta no japa
[22:28:22]  tron_black: KK
[22:28:28]  brunogs3: hoje eles vão jogar ?
[22:28:39]  jaoj_: cala a boca, OW tem uma dublagem melhor que muito filme por aí KEKW
